Event times and instantaneous frequencies between 229.857 s and 639.182 s on channel 401

Time	Inst freq
231.285	0.00432367
231.506	4.51855
231.806	3.34158
232.242	2.29358
232.472	4.34424
233.021	1.821
233.225	4.89716
233.307	12.1743
233.42	8.90155
233.568	6.74127
236.128	0.390636
236.285	6.35042
236.563	3.59622
236.786	4.49095
237.19	2.47421
237.507	3.15259
238.388	1.13629
239.376	1.01151
239.727	2.85274
240.142	2.40657
240.738	1.67926
240.838	9.92457
242.983	0.466224
243.283	3.33556
243.455	5.81058
243.855	2.50338
244.12	3.77074
244.312	5.204
244.597	3.50398
244.744	6.80457
244.887	6.99154
245.286	2.50803
245.912	1.59893
246.155	4.11066
246.982	1.209
247.49	1.96947
247.651	6.1954
247.998	2.88201
248.784	1.2718
249.363	1.72741
249.633	3.71044
250.038	2.46567
250.542	1.98519
250.869	3.06185
251.111	4.12201
251.535	2.35777
251.778	4.11913
252.295	1.93461
252.471	5.69509
252.688	4.59876
253.134	2.24311
253.498	2.7499
254.057	1.78686
254.326	3.71664
254.876	1.8201
255.189	3.18806
255.709	1.9233
256.275	1.76735
256.763	2.04935
257.078	3.1748
257.38	3.31082
257.635	3.9302
258.029	2.53601
259.312	0.779356
259.975	1.50843
260.475	1.99872
262.231	0.569616
262.557	3.06843
263.87	0.761551
264.465	1.68112
265.71	0.803297
266.551	1.18864
266.766	4.65701
267.025	3.86011
267.29	3.76619
267.481	5.23944
267.535	18.5943
267.776	4.1425
267.945	5.91296
268.141	5.113
268.568	2.34362
269.437	1.14981
269.701	3.79478
269.983	3.55025
270.439	2.19087
270.583	6.94879
270.884	3.32193
271.358	2.10744
271.527	5.91716
271.794	3.74616
272.874	0.926595
273.187	3.18959
274.61	0.702578
275.861	0.799821
276.139	3.59881
277.239	0.908463
277.506	3.74869
277.897	2.56043
278.021	8.02118
278.461	2.27319
278.645	5.43095
278.998	2.83519
279.067	14.6071
279.594	1.89462
279.96	2.7353
280.675	1.39944
281.154	2.08768
281.252	10.1286
281.756	1.98318
282.481	1.38116
282.785	3.27944
282.987	4.95074
283.336	2.86492
284.33	1.00685
284.476	6.82874
284.904	2.33579
286.254	0.74107
286.594	2.93988
287.314	1.38812
287.444	7.68108
288.01	1.76735
288.987	1.02341
289.207	4.5608
289.667	2.1708
290.162	2.02037
290.795	1.58108
291.317	1.913
291.819	1.99259
292.427	1.64512
294.962	0.394578
297.896	0.34076
299.39	0.669456
299.844	2.19998
301.336	0.670349
301.67	2.99518
301.853	5.45137
302.082	4.37311
303.226	0.874569
303.391	6.031
304.228	1.19514
304.618	2.56759
304.892	3.64764
305.309	2.39917
305.486	5.65099
305.989	1.98472
306.216	4.40859
306.491	3.64259
306.813	3.10453
307.011	5.05025
307.335	3.08337
307.491	6.42756
308.127	1.5725
308.652	1.9023
309.165	1.95038
309.49	3.07844
309.942	2.21175
310.346	2.47739
310.91	1.77318
311.405	2.01812
313.246	0.543133
313.461	4.66157
314.295	1.19847
314.427	7.60919
314.899	2.11743
315.466	1.76243
315.753	3.4926
316.735	1.01765
316.963	4.40025
317.23	3.74462
318.128	1.11269
318.398	3.70398
318.803	2.47329
319.23	2.34055
319.71	2.08372
321.248	0.650013
321.677	2.33193
322.355	1.4754
322.6	4.0823
323.47	1.14877
323.733	3.81156
323.914	5.52395
324.408	2.02282
325.47	0.941797
327.297	0.547333
328.71	0.707729
329.308	1.67171
329.901	1.6854
330.805	1.10633
331.581	1.28911
334.854	0.305555
335.126	3.66959
336.426	0.769337
336.873	2.23854
336.968	10.4998
337.422	2.20371
337.762	2.93755
338.058	3.37712
338.677	1.6164
339.015	2.95788
339.814	1.25172
342.819	0.332823
343.609	1.26493
343.789	5.54693
345.366	0.634256
346.321	1.04746
347.199	1.13872
347.62	2.37631
349.394	0.563609
350.369	1.02603
351.101	1.3647
352.063	1.03962
352.469	2.46494
355.046	0.38798
355.261	4.6681
355.816	1.80041
356.01	5.14615
358.448	0.410277
