Event times and instantaneous frequencies between 0 s and 328.514 s on channel 401

Time	Inst freq
0.195966	5.10293
0.470025	3.64885
0.630234	6.24185
0.837621	4.8219
1.02067	5.46296
1.26446	4.10201
1.47427	4.76606
1.80271	3.04475
1.96911	6.00947
2.21743	4.02713
2.51008	3.41698
2.7839	3.65209
3.2107	2.34301
3.44012	4.35878
3.68675	4.05461
3.93144	4.08687
4.15644	4.4445
4.37915	4.49012
4.61652	4.21274
4.81315	5.0858
5.05092	4.20567
5.2586	4.81529
5.64618	2.58006
5.82658	5.54336
5.97325	6.81803
6.2414	3.72927
6.48945	4.03146
6.77176	3.54214
6.9494	5.62949
7.17165	4.4994
7.30564	7.4633
7.59318	3.47773
7.84121	4.03175
8.04334	4.94736
8.3412	3.3573
8.60245	3.82772
8.83348	4.32855
9.06612	4.29847
9.2584	5.20078
9.45333	5.13002
9.7436	3.44499
9.98959	4.06529
10.1845	5.12955
10.4463	3.81965
10.6369	5.24868
10.8703	4.28471
11.1338	3.79495
11.3407	4.83141
11.5571	4.62109
11.7575	4.9898
12.0602	3.30439
12.3147	3.92855
12.509	5.14713
12.7072	5.04676
12.9085	4.96719
13.0215	8.84478
13.235	4.68415
13.4037	5.92751
13.671	3.74137
13.8857	4.6579
14.123	4.2136
14.2316	9.21294
14.5081	3.61603
14.7881	3.57125
15.0072	4.56471
15.2394	4.30591
15.3886	6.70381
15.6018	4.69048
15.823	4.51996
16.0241	4.97386
16.2252	4.97156
16.409	5.44235
16.6714	3.81092
16.8268	6.43637
17.0605	4.27734
17.3111	3.99077
17.5068	5.1102
17.6891	5.48453
17.8844	5.12104
18.0688	5.42385
18.2717	4.92769
18.564	3.42175
18.7798	4.63388
19.0036	4.46845
19.1905	5.34994
19.361	5.86607
19.5788	4.59137
19.7777	5.02553
20.1035	3.06971
20.2906	5.34419
20.4381	6.77948
20.6118	5.75924
20.7831	5.8372
20.9314	6.74354
21.1643	4.29293
21.374	4.76892
21.5308	6.37727
21.7128	5.49457
21.8786	6.02991
22.1031	4.4552
22.2922	5.28824
22.4882	5.10246
22.681	5.18726
22.917	4.237
23.138	4.52493
23.3236	5.38721
23.4872	6.1115
23.7868	3.33811
23.9725	5.38381
24.1658	5.17397
24.4035	4.20679
24.5812	5.6273
24.8046	4.47602
25.0314	4.40929
25.2139	5.47912
25.4216	4.81647
25.5883	5.99887
25.7923	4.90038
26.0463	3.93722
26.2197	5.76761
26.4218	4.94817
26.6256	4.90665
26.8517	4.42368
27.0369	5.39925
27.2539	4.60723
27.54	3.49578
27.754	4.67141
27.978	4.46576
28.1841	4.85152
28.4135	4.35844
28.619	4.8671
28.7397	8.28384
28.9324	5.1896
29.1122	5.56065
29.3071	5.13294
29.4868	5.56483
29.7052	4.57857
29.9172	4.71642
30.0759	6.30203
30.2464	5.86441
30.4262	5.56047
30.6176	5.22589
31.0307	2.42079
31.2201	5.27952
31.3523	7.5639
31.5843	4.31008
31.8626	3.59389
32.0965	4.27526
32.3397	4.11183
32.5233	5.44627
32.6695	6.83859
32.8171	6.77631
33.0465	4.35912
33.3001	3.94319
33.4075	9.30579
33.7035	3.37905
33.8619	6.31313
34.1073	4.07403
34.2784	5.84498
34.5015	4.48209
34.6676	6.02294
34.8959	4.38026
35.1493	3.94617
35.396	4.05268
35.5792	5.46054
35.7912	4.71596
36.0631	3.67796
36.2344	5.83904
36.4368	4.93974
36.6123	5.69703
36.8037	5.22581
37.0649	3.82759
37.2744	4.77425
37.4665	5.205
37.6425	5.68256
37.8496	4.82798
38.0437	5.15246
38.2209	5.64226
38.39	5.9152
38.4288	25.746
38.7345	3.27198
38.8907	6.40213
39.1667	3.62291
39.3853	4.57511
39.603	4.59206
39.7792	5.67569
40.0177	4.19319
40.1784	6.2232
40.5062	3.05094
40.7027	5.08851
40.8775	5.71912
41.1136	4.23549
41.3094	5.10785
41.494	5.41653
41.6561	6.17033
41.8332	5.64465
41.9169	11.953
42.1536	4.22513
42.3797	4.42186
42.6013	4.51316
42.8157	4.66416
43.0365	4.52855
43.2525	4.63092
43.4571	4.88594
43.6744	4.60202
43.875	4.98718
44.0916	4.61649
44.2578	6.01576
44.5298	3.67601
44.7329	4.92477
44.9195	5.35932
45.0734	6.49747
45.3043	4.33137
45.5237	4.55797
45.6981	5.73092
45.9213	4.48149
46.1643	4.11538
46.4168	3.95972
46.6079	5.23352
46.8212	4.68836
46.9743	6.53249
47.181	4.83709
47.392	4.7403
47.5773	5.39575
47.7756	5.04294
48.0032	4.39273
48.1593	6.40927
48.3604	4.97164
48.5357	5.70366
48.7656	4.35019
49.0661	3.32771
49.2635	5.06547
49.4341	5.86349
49.6399	4.8576
49.8188	5.59143
49.9603	7.06394
50.2012	4.15172
50.4389	4.20663
50.6295	5.2472
50.852	4.49424
51.0443	5.1994
51.2644	4.54517
51.4796	4.64492
51.6398	6.24278
51.8766	4.22283
52.065	5.30836
52.2939	4.36929
52.5124	4.57655
52.689	5.66373
52.8309	7.0432
53.0584	4.39725
53.2751	4.61367
53.4509	5.68683
53.622	5.84559
53.8693	4.04379
54.0866	4.60278
54.2269	7.12647
54.5257	3.34628
54.7612	4.24688
54.9995	4.19646
55.1642	6.07153
55.3432	5.58619
55.5049	6.18326
55.7431	4.19905
